_id,Variable,Value,Label,Question,__v
6908795475810a88df152313,C4,5,10 lakhs to 15 lakhs,C4. What is your annual income? Consider only self income not HH or with partner/ other family members,0
6908795475810a88df152314,C4,6,Above 15 lakhs,C4. What is your annual income? Consider only self income not HH or with partner/ other family members,0
6908795475810a88df152315,C4,7,No regular annual income,C4. What is your annual income? Consider only self income not HH or with partner/ other family members,0
6908795475810a88df152316,C4,8,Prefer not to say,C4. What is your annual income? Consider only self income not HH or with partner/ other family members,0
6908795475810a88df152317,C7,1,Not at all confident ,"C7. On a scale of 1 to 5, where 1 is not at all confident and 5 is very confident, how confident do you feel about achieving your financial goal?",0
6908795475810a88df152318,C7,2,Not so confident ,"C7. On a scale of 1 to 5, where 1 is not at all confident and 5 is very confident, how confident do you feel about achieving your financial goal?",0
6908795475810a88df152319,C7,3,Moderately confident,"C7. On a scale of 1 to 5, where 1 is not at all confident and 5 is very confident, how confident do you feel about achieving your financial goal?",0
6908795475810a88df15231a,C7,4,Confident,"C7. On a scale of 1 to 5, where 1 is not at all confident and 5 is very confident, how confident do you feel about achieving your financial goal?",0
6908795475810a88df15231b,C7,5,Very Confident,"C7. On a scale of 1 to 5, where 1 is not at all confident and 5 is very confident, how confident do you feel about achieving your financial goal?",0
6908795475810a88df15231c,C8,1,Finding it difficult to get by,C8. Which one of the following best describes how well you are managing financially these days?,0
6908795475810a88df15231d,C8,2,Just getting by,C8. Which one of the following best describes how well you are managing financially these days?,0
6908795475810a88df15231e,C8,3,Doing okay,C8. Which one of the following best describes how well you are managing financially these days?,0
6908795475810a88df15231f,C8,4,Living comfortably,C8. Which one of the following best describes how well you are managing financially these days?,0
6908795475810a88df152320,C8,5,Don’t know,C8. Which one of the following best describes how well you are managing financially these days?,0
6908795475810a88df152321,C8,6,Refused,C8. Which one of the following best describes how well you are managing financially these days?,0
6908795475810a88df152322,C9,1,Own a house/apartment,C9. What is your current living arrangement?,0
6908795475810a88df152323,C9,2,Rent a house/apartment,C9. What is your current living arrangement?,0
6908795475810a88df152324,C9,3,Living with family (not owner of the house),C9. What is your current living arrangement?,0
6908795475810a88df152325,C9,4,Shared accommodation),C9. What is your current living arrangement?,0
6908795475810a88df152326,C9,5,Hostels/Dormitories,C9. What is your current living arrangement?,0
6908795475810a88df152327,C9,6,Other (specify),C9. What is your current living arrangement?,0
6908795475810a88df152328,Q_39_S,1,Own a house/apartment,C9. What is your current living arrangement?,0
6908795475810a88df152329,Q_39_S,2,Rent a house/apartment,C9. What is your current living arrangement?,0
6908795475810a88df15232a,Q_39_S,3,Living with family (not owner of the house),C9. What is your current living arrangement?,0
6908795475810a88df15232b,Q_39_S,4,Shared accommodation),C9. What is your current living arrangement?,0
6908795475810a88df15232c,Q_39_S,5,Hostels/Dormitories,C9. What is your current living arrangement?,0
6908795475810a88df15232d,Q_39_S,6,Other (specify),C9. What is your current living arrangement?,0
6908795475810a88df15232e,C11,1,Yes,"C11. Do you have access to the internet, including through your mobile phone, your household’s broadband connection, hot-spots. or wi-fi, at home, at  educational institutions or at work?",0
6908795475810a88df15232f,C11,2,No,"C11. Do you have access to the internet, including through your mobile phone, your household’s broadband connection, hot-spots. or wi-fi, at home, at  educational institutions or at work?",0
6908795475810a88df152330,T_D4_2,1,Commercial Bank,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152331,T_D4_2,2,Non-banking financial Institutions like Micro finance/FinTech,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152332,T_D4_2,3,Credit union or cooperatives,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152333,T_D4_2,4,Any other (Specify),D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152334,T_D4_2_Q_46_S,1,Commercial Bank,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152335,T_D4_2_Q_46_S,2,Non-banking financial Institutions like Micro finance/FinTech,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152336,T_D4_2_Q_46_S,3,Credit union or cooperatives,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152337,T_D4_2_Q_46_S,4,Any other (Specify),D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152338,T_D4_3,1,Commercial Bank,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152339,T_D4_3,2,Non-banking financial Institutions like Micro finance/FinTech,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df15233a,T_D4_3,3,Credit union or cooperatives,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df15233b,T_D4_3,4,Any other (Specify),D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df15233c,T_D4_3_Q_46_S,1,Commercial Bank,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df15233d,T_D4_3_Q_46_S,2,Non-banking financial Institutions like Micro finance/FinTech,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df15233e,T_D4_3_Q_46_S,3,Credit union or cooperatives,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df15233f,T_D4_3_Q_46_S,4,Any other (Specify),D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152340,T_D4_4,1,Commercial Bank,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152341,T_D4_4,2,Non-banking financial Institutions like Micro finance/FinTech,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152342,T_D4_4,3,Credit union or cooperatives,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152343,T_D4_4,4,Any other (Specify),D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152344,T_D4_4_Q_46_S,1,Commercial Bank,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152345,T_D4_4_Q_46_S,2,Non-banking financial Institutions like Micro finance/FinTech,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152346,T_D4_4_Q_46_S,3,Credit union or cooperatives,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152347,T_D4_4_Q_46_S,4,Any other (Specify),D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152348,T_D4_6,1,Commercial Bank,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152349,T_D4_6,2,Non-banking financial Institutions like Micro finance/FinTech,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df15234a,T_D4_6,3,Credit union or cooperatives,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df15234b,T_D4_6,4,Any other (Specify),D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df15234c,T_D4_6_Q_46_S,1,Commercial Bank,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df15234d,T_D4_6_Q_46_S,2,Non-banking financial Institutions like Micro finance/FinTech,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df15234e,T_D4_6_Q_46_S,3,Credit union or cooperatives,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df15234f,T_D4_6_Q_46_S,4,Any other (Specify),D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152350,T_D4_7,1,Commercial Bank,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152351,T_D4_7,2,Non-banking financial Institutions like Micro finance/FinTech,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152352,T_D4_7,3,Credit union or cooperatives,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152353,T_D4_7,4,Any other (Specify),D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152354,T_D4_7_Q_46_S,1,Commercial Bank,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152355,T_D4_7_Q_46_S,2,Non-banking financial Institutions like Micro finance/FinTech,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152356,T_D4_7_Q_46_S,3,Credit union or cooperatives,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152357,T_D4_7_Q_46_S,4,Any other (Specify),D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152358,T_D4_8,1,Commercial Bank,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152359,T_D4_8,2,Non-banking financial Institutions like Micro finance/FinTech,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df15235a,T_D4_8,3,Credit union or cooperatives,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df15235b,T_D4_8,4,Any other (Specify),D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df15235c,T_D4_8_Q_46_S,1,Commercial Bank,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df15235d,T_D4_8_Q_46_S,2,Non-banking financial Institutions like Micro finance/FinTech,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df15235e,T_D4_8_Q_46_S,3,Credit union or cooperatives,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df15235f,T_D4_8_Q_46_S,4,Any other (Specify),D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152360,T_D4_9,1,Commercial Bank,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152361,T_D4_9,2,Non-banking financial Institutions like Micro finance/FinTech,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152362,T_D4_9,3,Credit union or cooperatives,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152363,T_D4_9,4,Any other (Specify),D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152364,T_D4_9_Q_46_S,1,Commercial Bank,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152365,T_D4_9_Q_46_S,2,Non-banking financial Institutions like Micro finance/FinTech,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152366,T_D4_9_Q_46_S,3,Credit union or cooperatives,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152367,T_D4_9_Q_46_S,4,Any other (Specify),D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152368,T_D4_10,1,Commercial Bank,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152369,T_D4_10,2,Non-banking financial Institutions like Micro finance/FinTech,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df15236a,T_D4_10,3,Credit union or cooperatives,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df15236b,T_D4_10,4,Any other (Specify),D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df15236c,T_D4_10_Q_46_S,1,Commercial Bank,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df15236d,T_D4_10_Q_46_S,2,Non-banking financial Institutions like Micro finance/FinTech,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df15236e,T_D4_10_Q_46_S,3,Credit union or cooperatives,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df15236f,T_D4_10_Q_46_S,4,Any other (Specify),D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152370,T_D4_12,1,Commercial Bank,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152371,T_D4_12,2,Non-banking financial Institutions like Micro finance/FinTech,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152372,T_D4_12,3,Credit union or cooperatives,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152373,T_D4_12,4,Any other (Specify),D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152374,T_D4_12_Q_46_S,1,Commercial Bank,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152375,T_D4_12_Q_46_S,2,Non-banking financial Institutions like Micro finance/FinTech,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152376,T_D4_12_Q_46_S,3,Credit union or cooperatives,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152377,T_D4_12_Q_46_S,4,Any other (Specify),D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152378,T_D4_14,1,Commercial Bank,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152379,T_D4_14,2,Non-banking financial Institutions like Micro finance/FinTech,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df15237a,T_D4_14,3,Credit union or cooperatives,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df15237b,T_D4_14,4,Any other (Specify),D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df15237c,T_D4_14_Q_46_S,1,Commercial Bank,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df15237d,T_D4_14_Q_46_S,2,Non-banking financial Institutions like Micro finance/FinTech,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df15237e,T_D4_14_Q_46_S,3,Credit union or cooperatives,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df15237f,T_D4_14_Q_46_S,4,Any other (Specify),D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152380,T_D4_15,1,Commercial Bank,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152381,T_D4_15,2,Non-banking financial Institutions like Micro finance/FinTech,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152382,T_D4_15,3,Credit union or cooperatives,D4. From where did you approach to access the mentioned financial products and services?,0
6908795475810a88df152383,T_D4_15,4,Any other (Specify),D4. From where did you approach to access the mentioned financial products and services?,0
